year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
2021,010000501616,10000501616,-1,99,99,140.0,1,0100005
2021,010000502150,10000502150,-1,99,99,0.0,1,0100005
2021,010000600876,10000600876,-1,99,99,21.0,1,0100006
2021,010000600877,10000600877,-1,99,99,0.0,1,0100006
2021,010000600880,10000600880,-1,99,99,28.0,1,0100006
2021,010000600887,10000600887,-1,99,99,15.0,1,0100006
2021,010000601413,10000601413,-1,99,99,77.0,1,0100006
2021,010000601685,10000601685,-1,99,99,65.0,1,0100006
2021,010000602209,10000602209,-1,99,99,40.0,1,0100006
2021,010000700091,10000700091,-1,99,99,94.0,1,0100007
2021,010000700248,10000700248,-1,99,99,21.0,1,0100007
2021,010000700342,10000700342,-1,99,99,38.0,1,0100007
2021,010000701483,10000701483,-1,99,99,3.0,1,0100007
2021,010000701738,10000701738,-1,99,99,5.0,1,0100007
2021,010000701739,10000701739,-1,99,99,19.0,1,0100007
2021,010000701740,10000701740,-1,99,99,23.0,1,0100007
2021,010000701742,10000701742,-1,99,99,23.0,1,0100007
2021,010000701743,10000701743,-1,99,99,6.0,1,0100007
2021,010000702091,10000702091,-1,99,99,2.0,1,0100007
2021,010000800303,10000800303,-1,99,99,1.0,1,0100008
2021,010000800839,10000800839,-1,99,99,0.0,1,0100008
2021,010000800851,10000800851,-1,99,99,1.0,1,0100008
2021,010000801485,10000801485,-1,99,99,257.0,1,0100008
2021,010000802097,10000802097,-1,99,99,2.0,1,0100008
2021,010000802133,10000802133,-1,99,99,53.0,1,0100008
2021,010000901403,10000901403,-1,99,99,,1,0100009
2021,010000901404,10000901404,-1,99,99,,1,0100009
2021,010000901405,10000901405,-1,99,99,,1,0100009
2021,010000901406,10000901406,-1,99,99,,1,0100009
2021,010001102430,10001102430,-1,99,99,132.0,1,0100011
2021,010001201781,10001201781,-1,99,99,98.0,1,0100012
2021,010001301498,10001301498,-1,99,99,47.0,1,0100013
2021,010001302401,10001302401,-1,99,99,2.0,1,0100013
2021,010001302402,10001302402,-1,99,99,7.0,1,0100013
2021,010003000004,10003000004,-1,99,99,74.0,1,0100030
2021,010006001467,10006001467,-1,99,99,85.0,1,0100060
2021,010009001782,10009001782,-1,99,99,109.0,1,0100090
2021,010010000025,10010000025,-1,99,99,109.0,1,0100100
2021,010012001471,10012001471,-1,99,99,52.0,1,0100120
2021,010012001474,10012001474,-1,99,99,20.0,1,0100120
2021,010012001475,10012001475,-1,99,99,38.0,1,0100120
2021,010012001758,10012001758,-1,99,99,21.0,1,0100120
2021,010018000035,10018000035,-1,99,99,56.0,1,0100180
2021,010018502427,10018502427,-1,99,99,41.0,1,0100185
2021,010018802193,10018802193,-1,99,99,61.0,1,0100188
2021,010018902196,10018902196,-1,99,99,35.0,1,0100189
2021,010019001460,10019001460,-1,99,99,56.0,1,0100190
2021,010019001815,10019001815,-1,99,99,57.0,1,0100190
2021,010019402395,10019402395,-1,99,99,23.0,1,0100194
2021,010019402396,10019402396,-1,99,99,26.0,1,0100194
2021,010019502407,10019502407,-1,99,99,85.0,1,0100195
2021,010019902452,10019902452,-1,99,99,54.0,1,0100199
2021,010020202469,10020202469,-1,99,99,70.0,1,0100202
2021,010020302470,10020302470,-1,99,99,20.0,1,0100203
2021,010020802503,10020802503,-1,99,99,36.0,1,0100208
2021,010021000039,10021000039,-1,99,99,6.0,1,0100210
2021,010021000040,10021000040,-1,99,99,15.0,1,0100210
2021,010021000053,10021000053,-1,99,99,61.0,1,0100210
2021,010021001879,10021001879,-1,99,99,5.0,1,0100210
2021,010024000051,10024000051,-1,99,99,35.0,1,0100240
2021,010024000543,10024000543,-1,99,99,76.0,1,0100240
2021,010024001408,10024001408,-1,99,99,7.0,1,0100240
2021,010024001639,10024001639,-1,99,99,12.0,1,0100240
2021,010027000058,10027000058,-1,99,99,20.0,1,0100270
2021,010027000062,10027000062,-1,99,99,36.0,1,0100270
2021,010027000065,10027000065,-1,99,99,18.0,1,0100270
2021,010027000066,10027000066,-1,99,99,19.0,1,0100270
2021,010027000067,10027000067,-1,99,99,15.0,1,0100270
2021,010027000068,10027000068,-1,99,99,13.0,1,0100270
2021,010027000069,10027000069,-1,99,99,22.0,1,0100270
2021,010027000070,10027000070,-1,99,99,0.0,1,0100270
2021,010027000100,10027000100,-1,99,99,20.0,1,0100270
2021,010027000549,10027000549,-1,99,99,20.0,1,0100270
2021,010027000550,10027000550,-1,99,99,15.0,1,0100270
2021,010027000625,10027000625,-1,99,99,38.0,1,0100270
2021,010027000648,10027000648,-1,99,99,36.0,1,0100270
2021,010027000660,10027000660,-1,99,99,19.0,1,0100270
2021,010027001708,10027001708,-1,99,99,48.0,1,0100270
2021,010027001709,10027001709,-1,99,99,57.0,1,0100270
2021,010027001710,10027001710,-1,99,99,4.0,1,0100270
2021,010027001711,10027001711,-1,99,99,44.0,1,0100270
2021,010027001712,10027001712,-1,99,99,88.0,1,0100270
2021,010027001713,10027001713,-1,99,99,39.0,1,0100270
2021,010027001714,10027001714,-1,99,99,18.0,1,0100270
2021,010027001715,10027001715,-1,99,99,37.0,1,0100270
2021,010027001716,10027001716,-1,99,99,67.0,1,0100270
2021,010027001783,10027001783,-1,99,99,18.0,1,0100270
2021,010027002072,10027002072,-1,99,99,0.0,1,0100270
2021,010027002492,10027002492,-1,99,99,21.0,1,0100270
2021,010030001478,10030001478,-1,99,99,37.0,1,0100300
2021,010033000082,10033000082,-1,99,99,18.0,1,0100330
2021,010033000084,10033000084,-1,99,99,32.0,1,0100330
2021,010033000088,10033000088,-1,99,99,34.0,1,0100330
2021,010033001479,10033001479,-1,99,99,2.0,1,0100330
